Appliance,Power
Furnace 2 [kW],2402.202011
Furnace 1 [kW],1770.0214
Solar [kW]_x,1503.153332
gen [kW]_y,1483.431806
Solar [kW]_y,1483.431806
Barn [kW]_x,1343.601573
Barn [kW]_y,1290.650103
Home office [kW],1197.157511
Fridge [kW],1096.767522
LivingRoomOutlets [kW],639.9985072
Living room [kW],630.5758261
Dishwasher [kW],517.0877556
Wine cellar [kW],446.6316078
Well [kW]_x,326.8193712
Well [kW]_y,317.8690646
Garage door [kW],212.4390878
Kitchen 14 [kW],148.1276445
Microwave [kW]_x,140.2068267
Microwave [kW]_y,137.9250195
WasherDrier [kW],48.03392337
Kitchen 12 [kW],34.98488109
Kitchen 38 [kW],0.092734265